"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2018","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2019","60483973",""
"Italy","2018","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2019","456192",""
"Italy","2018","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2019","2431659",""
"Italy","2018","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2019","473567",""
"Italy","2018","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2019","1975467",""
"Italy","2018","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2019","486949",""
"Italy","2018","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2019","503000",""
"Italy","2018","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2019","511951",""
"Italy","2018","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2019","534454",""
"Italy","2018","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2019","2783704",""
"Italy","2018","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2019","544912",""
"Italy","2018","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2019","559981",""
"Italy","2018","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2019","568964",""
"Italy","2018","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2019","575393",""
"Italy","2018","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2019","573405",""
"Italy","2018","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2019","2864813",""
"Italy","2018","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2019","574155",""
"Italy","2018","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2019","570073",""
"Italy","2018","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2019","575829",""
"Italy","2018","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2019","571351",""
"Italy","2018","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2019","567550",""
"Italy","2018","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2019","2898079",""
"Italy","2018","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2019","573687",""
"Italy","2018","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2019","584944",""
"Italy","2018","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2019","581446",""
"Italy","2018","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2019","590452",""
"Italy","2018","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2019","590059",""
"Italy","2018","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2019","2986520",""
