shape_CD_GEOCODM	date	country	state	city	ibgeID	newDeaths	deaths	newCases	totalCases	deaths_per_100k_inhabitants	totalCases_per_100k_inhabitants	deaths_by_totalCases	X_source	is_last	day1_death	day_10death	day_5death	day1_case	day_100cases	day_10cases	day_25cases	day_50cases	day_75cases	tem_rodo	tem_rodo_1	tem_rodo_2	MapaCD_GEOCODM	MapaTematico	Cluster_Espacial	Label_Cluster_Espacial	ID da observação dos clusters	Cluster 30	Cluster 29	Cluster 28	Cluster 27	Cluster 26	Cluster 25	Cluster 24	Cluster 23	Cluster 22	Cluster 21	Cluster 20	Cluster 19	Cluster 18	
3500105	12/06/2020	Brazil	SP	Adamantina/SP	3500105	0	3	1	44	8,55481	125,47051	0,06818	SES	TRUE	18398	0	0	18355	0	35	43	0	0	0	0	0	0	0	0	Conglomerado 0	3500105	0	0	0	0	0	0	0	0	0	0	0	0	0	
3500204	12/06/2020	Brazil	SP	Adolfo/SP	3500204	0	0	0	3	0	84,22235	0	SES	TRUE	0	0	0	18382	0	0	0	0	0	0	0	0	1	0	1	Conglomerado 1	3500204	1	1	1	1	1	1	1	1	1	1	1	1	1	
3500303	12/06/2020	Brazil	SP	Agua�/SP	3500303	0	4	0	49	11,01777	134,96764	0,08163	SES	TRUE	18382	0	0	18375	0	5	38	0	0	0	0	0	2	0	2	Conglomerado 2	3500303	2	2	2	2	2	2	2	2	2	2	2	2	2	
3500402	12/06/2020	Brazil	SP	�guas da Prata/SP	3500402	0	0	0	1	0	12,22494	0	SES	TRUE	0	0	0	18381	0	0	0	0	0	0	1	0	3	0	1	Conglomerado 1	3500402	1	1	1	1	1	1	1	1	1	1	1	1	1	
3500501	12/06/2020	Brazil	SP	�guas de Lind�ia/SP	3500501	0	1	0	23	5,34616	122,96177	0,04348	SES	TRUE	18360	0	0	18354	0	49	0	0	0	0	1	0	4	0	2	Conglomerado 2	3500501	2	2	2	2	2	2	2	2	2	2	2	2	2	
3500550	12/06/2020	Brazil	SP	�guas de Santa B�rbara/SP	3500550	0	0	0	3	0	49,38272	0	SES	TRUE	0	0	0	18390	0	0	0	0	0	0	0	1	5	0	3	Conglomerado 3	3500550	5	5	5	5	5	5	5	5	5	5	5	5	5	
3500600	12/06/2020	Brazil	SP	�guas de S�o Pedro/SP	3500600	0	0	0	3	0	86,93132	0	SES	TRUE	0	0	0	18362	0	0	0	0	0	0	0	0	6	0	2	Conglomerado 2	3500600	2	2	2	2	2	2	2	2	2	2	2	2	2	
3500709	12/06/2020	Brazil	SP	Agudos/SP	3500709	0	1	0	44	2,68716	118,23507	0,02273	SES	TRUE	18360	0	0	18354	0	23	61	0	0	0	0	0	7	0	2	Conglomerado 2	3500709	2	2	2	2	2	2	2	2	2	2	2	2	2	
3500758	12/06/2020	Brazil	SP	Alambari/SP	3500758	0	0	0	5	0	82,98755	0	SES	TRUE	0	0	0	18368	0	0	0	0	0	0	0	1	8	0	4	Conglomerado 4	3500758	8	8	8	8	8	8	8	8	8	8	8	8	8	
3500808	12/06/2020	Brazil	SP	Alfredo Marcondes/SP	3500808	0	2	0	3	48,00768	72,01152	0,66667	SES	TRUE	18404	0	0	18401	0	0	0	0	0	0	0	0	9	0	5	Conglomerado 5	3500808	9	9	9	9	9	9	9	9	9	9	9	9	9	
